gsm,patient,timepoint,mirna_names,expression
GSM1688392,D,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.66784585 2.4295492  2.17066682 ... 1.24535902 3.10999567 0.96471419]
GSM1688393,D,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57058079 2.16700524 2.3053811  ... 1.31758034 3.18153078 1.49529201]
GSM1688394,D,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.7329251  2.06141291 3.8908394  ... 1.34832691 3.67377956 1.67527603]
GSM1688395,D,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.7329251  2.42079331 3.00220879 ... 1.30081197 3.17504796 1.43199645]
GSM1688396,D,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.74891028 2.18177648 2.48439216 ... 1.4743869  2.97440811 1.16586957]
GSM1688397,D,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.66207931 2.44939323 1.96671862 ... 1.19205505 2.54007069 0.96654104]
GSM1688398,D,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.65047677 2.40671434 2.32053351 ... 1.32036094 3.16310141 1.40061001]
GSM1688399,D,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.68931915 3.07187763 3.0118911  ... 1.51385879 2.96108407 1.88626965]
GSM1688400,E,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.63005461 2.4374989  2.88503778 ... 1.24570382 2.4650137  1.35993545]
GSM1688401,E,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.15944293 2.39409803 1.80950331 ... 1.2801965  3.16950773 0.80232289]
GSM1688402,E,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64045261 2.24555723 2.62271448 ... 0.85671085 2.93217526 1.63668851]
GSM1688403,E,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.25486802 3.06521685 2.16959957 ... 1.30711523 2.70858168 1.67243676]
GSM1688404,E,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.35450399 2.06137629 2.21315463 ... 1.54184508 2.25579129 1.20667814]
GSM1688405,E,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.17161079 2.31178816 2.20050207 ... 1.34462839 2.3472914  1.4057982 ]
GSM1688406,E,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.69729958 2.52855882 2.3170018  ... 1.73547708 2.19212299 1.2858116 ]
GSM1688407,E,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.3085211  2.08244769 1.9478267  ... 1.03341309 3.67032982 1.4057982 ]
GSM1688408,F,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57406796 2.86924437 2.11962926 ... 0.90501037 3.30334904 1.05720906]
GSM1688409,F,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.62551255 2.13803757 2.68105565 ... 1.25201359 2.74536578 1.5489278 ]
GSM1688410,F,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.4070098  2.08314008 1.93365869 ... 1.30168789 3.48485974 1.04427272]
GSM1688411,F,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.81375442 2.07011173 2.39175928 ... 1.54825084 2.39804108 1.37064797]
GSM1688412,F,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.5966059  2.1569042  2.3807627  ... 1.27385916 3.75345245 1.14132219]
GSM1688413,F,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.94215881 1.88084826 2.15449166 ... 0.89894677 2.98062038 0.92566539]
GSM1688414,F,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.7922193  2.01001395 2.16340878 ... 1.65810631 3.71248121 1.15897271]
GSM1688415,F,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.70385334 2.02498703 2.20430355 ... 1.25788474 3.72508956 1.24737073]
GSM1688416,G,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.45323036 2.45812669 2.61778371 ... 1.11126903 2.65012106 1.32023296]
GSM1688417,G,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.56257216 2.29061409 3.2431331  ... 1.45060017 2.54732487 1.43156158]
GSM1688418,G,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.04889725 2.29852293 3.18412374 ... 1.38119047 2.54732487 1.43837495]
GSM1688419,G,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.74503476 2.47222487 2.70045703 ... 1.09742633 2.77749575 1.3960742 ]
GSM1688420,G,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.27830266 2.35328202 2.34150225 ... 1.15278898 3.09843797 2.00415132]
GSM1688421,G,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.37858855 2.60923935 2.26958044 ... 1.10741825 2.4671039  0.76453484]
GSM1688422,G,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.98456761 3.09393825 2.64956427 ... 1.42743363 2.49302091 1.39369288]
GSM1688423,G,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.6386594  2.50292994 2.89019278 ... 1.64288317 3.36029635 1.55479748]
GSM1688424,H,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.08786023 2.33508027 4.40027809 ... 1.36790234 2.9392123  2.13498495]
GSM1688425,H,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.41315945 3.04390582 2.17774812 ... 1.3622184  2.35060021 1.14859141]
GSM1688426,H,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.58933981 2.33106907 2.08656787 ... 1.00678548 2.43085603 1.33735644]
GSM1688427,H,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.8696117  2.14300895 2.35069151 ... 1.43122827 2.91034133 1.32595905]
GSM1688428,H,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.53851058 2.42013995 2.4393177  ... 1.41481738 2.70840534 1.74081391]
GSM1688429,H,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.82588562 2.21803142 2.21758376 ... 1.62246469 2.2935886  1.33152518]
GSM1688430,H,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.53641464 2.19850043 1.69081005 ... 1.35905897 3.32710697 1.15349688]
GSM1688431,I,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.75318272 2.66050878 3.20881505 ... 1.25348533 2.99644844 1.10654922]
GSM1688432,I,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.41734418 2.21393249 2.44008804 ... 1.44334684 2.29774549 1.01530618]
GSM1688433,I,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64056222 2.4316313  2.31928521 ... 1.27036302 2.68329288 0.67439667]
GSM1688434,I,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.90811717 2.51521876 3.46971712 ... 1.49790107 3.12901409 1.74826054]
GSM1688435,I,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.09125015 2.43732442 2.30914065 ... 1.3989692  2.28891554 1.27556781]
GSM1688436,I,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.11705316 2.75526021 2.6559321  ... 1.32654843 2.7182927  1.09510281]
GSM1688437,I,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.78770584 2.78472534 2.92230129 ... 0.73675888 3.28246817 1.42756945]
GSM1688438,I,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.79133253 2.37955267 2.42460807 ... 0.88411941 3.59689275 1.52695505]
GSM1688439,J,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.27514731 2.37044907 2.01477977 ... 1.00088064 3.14150534 1.22770526]
GSM1688440,J,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.4819     2.44065341 1.90027977 ... 1.32283598 2.60949651 1.28443573]
GSM1688441,J,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.42285441 2.34255635 2.07879382 ... 1.49165688 2.58965382 1.48037738]
