gsm,patient,timepoint,mirna_names,expression
GSM1688475,N,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.68687697 3.06179406 3.39902403 ... 1.55290295 2.21987022 1.71128372]
GSM1688476,N,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.83473557 2.37457109 2.54513784 ... 1.16484496 2.59681107 1.54168175]
GSM1688477,N,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.65925772 2.05342802 2.47165253 ... 1.34970583 3.01128097 1.37164748]
GSM1688478,N,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.80957261 2.13114501 2.41116516 ... 1.36764089 3.54989818 1.41437797]
GSM1688479,O,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.8356958  3.14692882 2.50620725 ... 1.35913814 3.04127739 1.36933332]
GSM1688480,O,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.45656762 2.59691183 1.72375958 ... 1.14756871 3.61294788 1.24643715]
GSM1688481,O,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.21279885 2.86951349 2.36605219 ... 1.26589846 2.78941645 1.59020846]
GSM1688482,O,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.82557634 2.4778436  2.04443746 ... 1.51963072 3.72106261 1.5537622 ]
GSM1688483,O,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.65406747 2.87521739 2.01480134 ... 1.12981506 3.24405432 1.1171533 ]
GSM1688484,O,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.5951447  2.75607068 2.12173998 ... 0.93738538 3.48688607 0.72760881]
GSM1688485,O,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.43112299 2.68956445 2.45694381 ... 0.74987565 3.03234255 1.06650951]
GSM1688486,O,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.63635464 2.47234923 2.39463704 ... 1.53205169 2.63919034 1.12135969]
GSM1688487,P,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64802554 2.96562618 2.2539738  ... 1.62948859 2.97914486 1.32502443]
GSM1688488,P,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76971839 2.82354322 2.314883   ... 1.54224755 2.61243948 1.59605144]
GSM1688489,P,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.6348887  2.56647981 2.9145596  ... 1.2331395  2.69160209 1.67427963]
GSM1688490,P,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.67814825 2.37983603 2.23413951 ... 1.38277602 2.87519095 1.35643327]
GSM1688491,P,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.58859477 2.62676684 3.31911074 ... 1.60219118 1.70492248 1.80378978]
GSM1688492,P,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.67031691 2.081621   2.15706091 ... 1.21063637 2.45457138 0.72234862]
GSM1688493,P,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.07775707 2.03878078 2.43693452 ... 1.49712749 3.01758222 1.23412496]
GSM1688494,P,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.70374734 2.13752191 2.29940158 ... 1.09504385 2.79972963 1.3344808 ]
GSM1688495,Q,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.66116978 2.3116737  2.55250088 ... 1.46259001 3.28503562 1.44669571]
GSM1688496,Q,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.35643066 2.47552557 2.07105782 ... 1.39726788 3.73780381 1.17284017]
GSM1688497,Q,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76686522 2.3116737  2.05364773 ... 1.4058451  2.74589063 1.26668049]
GSM1688498,Q,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57250885 2.17512455 2.26311039 ... 1.25564432 3.38989342 1.30959913]
GSM1688499,Q,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59411401 2.68018504 2.35833984 ... 1.48416876 3.10480702 1.33155122]
GSM1688500,Q,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.35867754 2.15805061 2.10215896 ... 0.8424259  2.52200408 1.18962937]
GSM1688501,Q,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.56994614 2.20113918 1.89068466 ... 1.17625551 3.26910444 1.41190627]
GSM1688502,Q,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.83035302 2.33716343 2.02039862 ... 1.16008491 2.51790918 1.46080885]
GSM1688503,R,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.67406799 2.26304136 2.01305106 ... 1.2645845  3.3718821  1.37716691]
GSM1688504,R,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.34924915 2.32149705 2.12613134 ... 1.47034924 3.17212812 1.23447239]
GSM1688505,R,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.4353359  2.31490243 2.02175258 ... 0.99452469 3.32293964 1.03147576]
GSM1688506,R,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.96575692 2.6692771  2.46057325 ... 1.38944294 3.13165885 1.57231343]
GSM1688507,R,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.9390802  2.73169507 2.24946902 ... 1.52078803 3.08235679 1.04809198]
GSM1688508,R,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76220314 2.53507855 2.19270247 ... 1.21254234 3.24738056 1.16448359]
GSM1688509,R,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.751362   2.48295445 3.03669013 ... 1.43042343 2.00164595 1.55030771]
GSM1688510,R,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.34548489 2.45662167 1.95434515 ... 1.21447975 2.71678307 1.11315839]
GSM1688511,S,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.66636738 2.50443862 2.43627035 ... 1.60129587 2.61374401 0.78331321]
GSM1688512,S,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.41520573 2.26209012 2.15509015 ... 1.3496099  3.19397294 1.45407595]
GSM1688513,S,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.04728952 2.0266249  2.02407197 ... 0.89167479 2.46412403 1.36963897]
GSM1688514,S,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59512114 2.11002713 2.2051604  ... 0.82500748 2.73659947 1.05079663]
GSM1688515,S,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.41125477 2.1659587  2.03272388 ... 1.26738153 2.56195854 1.66617457]
GSM1688516,S,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.49452444 2.40004194 2.07632864 ... 1.31927128 2.75447584 1.60388313]
GSM1688517,S,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.32959978 2.1659587  2.51716368 ... 0.98295359 3.04740445 1.46642047]
GSM1688518,T,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.44702623 2.62248713 2.57579178 ... 1.12067736 2.664231   1.58566567]
GSM1688519,T,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.40793321 2.06954327 1.91694747 ... 1.0896529  2.67586125 0.97873709]
GSM1688520,T,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.82316943 2.61867788 2.56603497 ... 1.37471314 2.82623612 1.6588829 ]
GSM1688521,T,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64508062 2.33990323 2.32325266 ... 1.00519043 3.28442593 1.17904355]
GSM1688522,T,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.77592219 3.16679971 3.33791946 ... 1.62693785 1.94622805 1.72843182]
GSM1688523,T,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.43062073 2.46762738 1.99962478 ... 1.1633813  2.90850809 1.31880652]
GSM1688524,T,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.45839956 2.33990323 2.30232357 ... 1.43029761 2.91727622 1.5013745 ]
GSM1688525,T,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.58801081 2.06064329 3.30439549 ... 1.48749646 3.55385011 1.82811876]
GSM1688526,U,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.44149427 2.12975509 2.48320191 ... 1.11915314 3.35674031 1.28092585]
GSM1688527,U,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.46974044 2.12490711 1.96379976 ... 1.22274995 3.30834451 1.31756383]
GSM1688528,U,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.58516403 2.22558468 2.10757779 ... 1.61916789 3.19447911 1.2606692 ]
GSM1688529,U,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.94448749 2.66406243 2.62049586 ... 1.58862432 3.02889639 1.3829723 ]
GSM1688530,U,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.47349138 2.52357705 2.78630219 ... 1.51596935 2.85111666 1.54386566]
GSM1688531,U,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.5943421  2.34371543 2.46200851 ... 1.3914198  2.94200473 1.28387368]
GSM1688532,U,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.3347965  2.14302998 2.23392406 ... 1.22053439 2.64048977 1.49633893]
GSM1688533,U,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.65035795 2.28203054 2.30720948 ... 1.2979678  2.54558313 1.3140584 ]
GSM1688534,V,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.52249245 2.28203953 2.09292685 ... 0.86949865 2.59901922 0.98683563]
GSM1688535,V,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.21562019 3.29919212 3.83056121 ... 1.48484858 1.92636121 1.96103495]
GSM1688536,V,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.52424243 2.13117445 2.19399042 ... 1.31201607 2.89373675 1.07995738]
GSM1688537,V,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.64974597 2.1916542  2.42356096 ... 1.00856264 2.58367476 1.15620486]
GSM1688538,V,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.40216448 2.23134599 2.26350401 ... 1.35201097 2.92352018 1.31301602]
GSM1688539,V,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.06714275 2.6058076  2.3493297  ... 1.48484858 3.03759449 1.28251831]
GSM1688540,V,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.68294038 2.08284173 2.15435482 ... 1.48308233 3.4716725  1.2071692 ]
GSM1688541,V,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.74573621 2.18662632 2.15946889 ... 1.33527003 3.22434321 1.16331363]
GSM1688542,W,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.05016105 2.30500098 2.59980395 ... 1.45879264 1.9956835  1.30069405]
GSM1688543,W,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.5649112  2.10744642 2.33541434 ... 1.15234912 2.99504302 1.34319882]
GSM1688544,W,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76810074 2.11352946 2.37410973 ... 1.18881845 3.04943723 1.36600958]
GSM1688545,W,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.50683483 2.02753    1.92687077 ... 0.8908712  3.0070293  1.02127458]
GSM1688546,W,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.76810074 2.70334145 2.26071688 ... 1.16026102 3.51793756 1.05310712]
GSM1688547,W,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.54724909 2.43274678 2.20378684 ... 1.31110781 3.10840947 1.42478756]
GSM1688548,W,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59887813 2.10551203 2.29205095 ... 1.41153534 3.14865121 1.62746581]
GSM1688549,W,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57364968 2.77155041 2.82300651 ... 1.63795477 3.43611955 1.48574558]
GSM1688550,X,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.88210576 2.23292646 2.49842118 ... 1.76680542 2.98777074 0.72541805]
GSM1688551,X,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.98195256 2.04822324 2.56453054 ... 1.55180935 2.92094009 0.73406652]
GSM1688552,X,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.52790899 2.11204043 2.60323146 ... 1.46015587 1.97068445 1.10514484]
GSM1688553,X,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.37161031 2.58905855 3.56716478 ... 1.6530474  2.51675694 0.85402548]
GSM1688554,X,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.57914868 2.83278007 3.07576769 ... 1.62267546 3.47842756 1.41239053]
GSM1688555,X,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.97205378 2.48575451 2.67058368 ... 1.76680542 2.40891928 1.03602578]
GSM1688556,X,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.71975827 2.46468161 3.03453535 ... 1.31457126 2.62431127 1.47948747]
GSM1688557,Y,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.70198287 2.15823198 2.16943736 ... 1.35196137 3.41661146 1.29538827]
GSM1688558,Y,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.75645211 2.19305865 2.05738803 ... 1.50228427 2.68156446 1.16133403]
GSM1688559,Y,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.90041295 3.06097962 3.06002595 ... 1.58397257 2.52410103 1.41170257]
GSM1688560,Y,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[2.05175399 2.46696114 3.40865196 ... 1.52412286 2.59087692 1.41170257]
GSM1688561,Y,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.77897429 2.41743954 2.63876534 ... 1.22520026 3.71589751 1.59420527]
GSM1688562,Y,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.83639153 2.47159669 2.76393733 ... 1.34196322 3.24117191 1.06249255]
GSM1688563,Y,7,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.69034622 2.1702198  2.18467129 ... 1.16243747 2.81008512 1.34509887]
GSM1688564,Y,8,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.75078144 2.38897089 2.45349196 ... 1.46722152 3.74126016 1.04442974]
GSM1688565,Z,1,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.72530576 2.09524632 2.47536374 ... 1.63946846 3.55913826 1.47256399]
GSM1688566,Z,2,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.67319336 2.04360163 2.22956715 ... 1.33639419 2.80557846 0.9007661 ]
GSM1688567,Z,3,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.59469932 2.61432133 2.9697984  ... 1.44480729 2.74994323 1.46357575]
GSM1688568,Z,4,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.81388454 2.16746751 2.6712033  ... 0.85961035 2.59744043 0.9161828 ]
GSM1688569,Z,5,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.56229292 2.66184855 2.5030086  ... 1.05802246 2.70222163 1.82096355]
GSM1688570,Z,6,"['hsa-miR-507' 'hsa-miR-548d-5p' 'hsa-miR-1976' ... 'hsa-miR-1289'
 'hsa-miR-1288' 'hsa-miR-105']",[1.80442049 2.03990974 2.33041754 ... 1.41148063 3.81852148 1.19880743]
